# PICASSO limits on SD DM-proton scattering
# taken from fig. 4a of hep-ex/0502028
#
#  m_chi [GeV]     sigma [cm^2]
     4.72536       3.54897E-35
     5.71749       1.41021E-35
     6.74435       6.60756E-36
     8.26474       3.53230E-36
    10.79216       2.22663E-36
    14.82722       1.60140E-36
    20.63143       1.23021E-36
    30.20445       1.15173E-36
    47.72227       1.27144E-36
    99.71682       1.95159E-36
   248.92502       4.16516E-36
   463.93097       7.53877E-36
  2329.41406       3.32256E-35

