# XENON-10 limits on SD DM-neutron couplings
# Taken from fig. 1 of 0805.2939 (RH panel, black curve)
#
#   m [GeV]      sigma [cm^2
    8.22829      1.00000E-34
    9.00321      3.12071E-35
   10.15114      9.23671E-36
   11.79400      3.37859E-36
   13.70275      1.52724E-36
   17.16041      7.67463E-37
   22.14506      5.29832E-37
   27.32009      4.76608E-37
   34.21385      4.76608E-37
   48.31023      5.58633E-37
   92.08086      9.48444E-37
  301.18085      2.88251E-36
 1179.40027      1.14149E-35

