#     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
#
 0.10000E+02   0.51000E-01   0.11943E+01   0.35820E+00   0.45589E+00   0.89247E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.51765E-01   0.11948E+01   0.35763E+00   0.45450E+00   0.88494E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.52541E-01   0.11949E+01   0.35710E+00   0.45310E+00   0.87744E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.53328E-01   0.11944E+01   0.35660E+00   0.45170E+00   0.86997E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.54128E-01   0.11936E+01   0.35614E+00   0.45030E+00   0.86250E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.54939E-01   0.11923E+01   0.35569E+00   0.44889E+00   0.85504E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.55763E-01   0.11907E+01   0.35528E+00   0.44747E+00   0.84756E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.56599E-01   0.11886E+01   0.35489E+00   0.44604E+00   0.84006E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.57447E-01   0.11862E+01   0.35452E+00   0.44460E+00   0.83253E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.58308E-01   0.11835E+01   0.35418E+00   0.44314E+00   0.82496E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.59182E-01   0.11804E+01   0.35386E+00   0.44168E+00   0.81734E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.60069E-01   0.11770E+01   0.35355E+00   0.44020E+00   0.80966E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.60970E-01   0.11732E+01   0.35327E+00   0.43871E+00   0.80192E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.61884E-01   0.11692E+01   0.35300E+00   0.43720E+00   0.79412E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.62812E-01   0.11648E+01   0.35274E+00   0.43567E+00   0.78623E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.63753E-01   0.11602E+01   0.35250E+00   0.43412E+00   0.77826E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.64709E-01   0.11553E+01   0.35228E+00   0.43256E+00   0.77021E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.65679E-01   0.11502E+01   0.35207E+00   0.43097E+00   0.76206E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
