     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt

 0.10000E+02   0.51000E-01   0.50103E+00   0.18220E+01   0.16151E-01   0.17510E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.51765E-01   0.49892E+00   0.18219E+01   0.16356E-01   0.17180E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.52541E-01   0.49695E+00   0.18216E+01   0.16503E-01   0.16855E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.53328E-01   0.49510E+00   0.18212E+01   0.16600E-01   0.16535E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.54128E-01   0.49336E+00   0.18207E+01   0.16653E-01   0.16220E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.54939E-01   0.49170E+00   0.18201E+01   0.16669E-01   0.15911E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.55763E-01   0.49010E+00   0.18194E+01   0.16652E-01   0.15606E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.56599E-01   0.48855E+00   0.18186E+01   0.16608E-01   0.15307E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.57447E-01   0.48704E+00   0.18177E+01   0.16541E-01   0.15013E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.58308E-01   0.48554E+00   0.18167E+01   0.16455E-01   0.14725E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.59182E-01   0.48406E+00   0.18156E+01   0.16352E-01   0.14443E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
