     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt

 0.10000E+02   0.51000E-01   0.12068E+01   0.35128E+00   0.46559E+00   0.64568E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.51765E-01   0.12087E+01   0.35122E+00   0.46453E+00   0.76704E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.52541E-01   0.12099E+01   0.35118E+00   0.46344E+00   0.86459E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.53328E-01   0.12105E+01   0.35114E+00   0.46232E+00   0.94115E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.54128E-01   0.12106E+01   0.35112E+00   0.46117E+00   0.99929E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.54939E-01   0.12101E+01   0.35111E+00   0.45999E+00   0.10414E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.55763E-01   0.12091E+01   0.35110E+00   0.45879E+00   0.10696E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.56599E-01   0.12076E+01   0.35110E+00   0.45755E+00   0.10859E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.57447E-01   0.12057E+01   0.35111E+00   0.45628E+00   0.10921E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.58308E-01   0.12034E+01   0.35112E+00   0.45498E+00   0.10898E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.59182E-01   0.12006E+01   0.35114E+00   0.45365E+00   0.10804E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.60069E-01   0.11974E+01   0.35116E+00   0.45229E+00   0.10654E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.60970E-01   0.11939E+01   0.35117E+00   0.45090E+00   0.10457E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.61884E-01   0.11900E+01   0.35120E+00   0.44947E+00   0.10226E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.62812E-01   0.11857E+01   0.35122E+00   0.44802E+00   0.99678E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.63753E-01   0.11812E+01   0.35124E+00   0.44653E+00   0.96916E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.64709E-01   0.11763E+01   0.35126E+00   0.44500E+00   0.94039E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.65679E-01   0.11711E+01   0.35127E+00   0.44345E+00   0.91107E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.66664E-01   0.11656E+01   0.35128E+00   0.44186E+00   0.88168E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.67663E-01   0.11599E+01   0.35129E+00   0.44023E+00   0.85264E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.68677E-01   0.11539E+01   0.35130E+00   0.43857E+00   0.82429E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
