#     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
#
 0.10000E+02   0.51000E-01   0.61473E+00   0.18329E+01   0.16797E-01   0.53472E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.51765E-01   0.60144E+00   0.18331E+01   0.16680E-01   0.52818E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.52541E-01   0.58925E+00   0.18331E+01   0.16576E-01   0.52162E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.53328E-01   0.57809E+00   0.18329E+01   0.16483E-01   0.51505E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.54128E-01   0.56786E+00   0.18326E+01   0.16398E-01   0.50845E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.54939E-01   0.55849E+00   0.18321E+01   0.16320E-01   0.50183E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.55763E-01   0.54992E+00   0.18315E+01   0.16246E-01   0.49518E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.56599E-01   0.54205E+00   0.18307E+01   0.16176E-01   0.48852E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.57447E-01   0.53485E+00   0.18298E+01   0.16108E-01   0.48184E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.58308E-01   0.52823E+00   0.18288E+01   0.16041E-01   0.47513E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.59182E-01   0.52215E+00   0.18277E+01   0.15973E-01   0.46841E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.60069E-01   0.51655E+00   0.18265E+01   0.15903E-01   0.46167E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.60970E-01   0.51137E+00   0.18252E+01   0.15830E-01   0.45490E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.61884E-01   0.50658E+00   0.18237E+01   0.15754E-01   0.44812E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.62812E-01   0.50213E+00   0.18223E+01   0.15673E-01   0.44132E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
